"rcc","gcc","bcc","brt","max.filtered","doy","date","ROI"
0.236256829855602,0.46873229834552,0.296032265989753,234.448499210111,0.486798456128418,91,2013-04-01,"T1"
0.259272705972119,0.478926143989452,0.263264717756184,227.619408711352,0.486798456128418,92,2013-04-02,"T1"
0.262381440956979,0.47742355303815,0.260274189592194,236.052471225457,0.501134992957649,93,2013-04-03,"T1"
0.249088301591424,0.491167965940927,0.260039350179073,209.42951929587,0.50634616115902,94,2013-04-04,"T1"
0.252975528626849,0.49318430090535,0.253001260767306,210.446197246671,0.509132398138728,95,2013-04-05,"T1"
0.251278812077956,0.482378532637945,0.266342655284099,229.367524260889,0.509132398138728,96,2013-04-06,"T1"
0.294576689015307,0.481885050412964,0.2265857625986,211.932611148725,0.512267029834944,97,2013-04-07,"T1"
0.287761751208202,0.499942804814651,0.217311780301735,207.202076280749,0.514331640910782,98,2013-04-08,"T1"
0.275358125888403,0.493454492700111,0.22526213637107,226.167953058,0.519290009233752,99,2013-04-09,"T1"
0.281615822104808,0.502073208154527,0.217440441345388,217.7224328594,0.51778840825096,100,2013-04-10,"T1"
0.291445793298008,0.498451022789041,0.209100822401007,231.258384111939,0.510922195872331,101,2013-04-11,"T1"
0.283986080129053,0.491901695036538,0.222972627218876,249.24509140149,0.509838393414163,102,2013-04-12,"T1"
0.287892137652584,0.497903282376441,0.219519407963195,236.966215301286,0.5102556694976,103,2013-04-13,"T1"
0.284514656324956,0.502008042882792,0.216483306173012,234.638885127511,0.516667431706322,104,2013-04-14,"T1"
0.307375473984933,0.483351383719706,0.210624146199198,219.681336041526,0.522772254915591,105,2013-04-15,"T1"
0.282866048738705,0.502808814940537,0.20660041042102,239.954863461972,0.531374022910596,106,2013-04-16,"T1"
0.290406686138184,0.517565061501716,0.193179849998212,211.225547280524,0.532135489218022,107,2013-04-17,"T1"
0.301969999046754,0.506223282044565,0.192721685493807,213.013247573911,0.531846153505581,108,2013-04-18,"T1"
0.281583628228832,0.504973444086565,0.211327292637189,244.195080117355,0.52956645892267,109,2013-04-19,"T1"
0.27327814747733,0.503033070699217,0.226226296391746,232.693680884676,0.523587188012773,110,2013-04-20,"T1"
0.298676700408233,0.506399182258832,0.196182448481357,220.516384563304,0.524671284358856,111,2013-04-21,"T1"
0.287127288652324,0.504857596949802,0.208152816156364,237.647619047619,0.525543572356245,112,2013-04-22,"T1"
0.29626113299012,0.51406421656459,0.196093648623194,214.590566463552,0.524977622093372,113,2013-04-23,"T1"
0.289717066964917,0.51449109251688,0.198783398455219,214.619205596931,0.526657493414072,114,2013-04-24,"T1"
0.282208298584291,0.512220604697897,0.208979219156977,233.630850823742,0.532907196834805,115,2013-04-25,"T1"
0.297026477891897,0.508096036412991,0.194715157271115,205.022929361318,0.532907196834805,116,2013-04-26,"T1"
0.266003628507684,0.490304743845924,0.2411174460639,278.865199729181,0.51740294307098,117,2013-04-27,"T1"
0.275138802237428,0.49581934794056,0.229564093127996,261.60182802979,0.507593309621064,118,2013-04-28,"T1"
0.274195814094041,0.500316659219782,0.225796242976532,248.304310539382,0.517885224903675,119,2013-04-29,"T1"
0.275780078444735,0.50870676885356,0.213260671314503,239.722793951704,0.517885224903675,120,2013-04-30,"T1"
0.242004789544502,0.486617732649348,0.266929929920196,191.274254435636,0.510028812424881,91,2013-04-01,"T2"
0.273705242855384,0.504198543009948,0.218074561427003,187.036030367854,0.510028812424881,92,2013-04-02,"T2"
0.282040640279832,0.499306680555179,0.218966633811622,202.11903863093,0.527878709260351,93,2013-04-03,"T2"
0.265632366473078,0.514258912701707,0.214948931487619,182.20666079443,0.541456199446605,94,2013-04-04,"T2"
0.27166726325539,0.522434703608229,0.204900028193718,175.89398515163,0.547343947435843,95,2013-04-05,"T2"
0.253346033053075,0.511215164008816,0.229333783364252,180.074367685919,0.547343947435843,96,2013-04-06,"T2"
0.322845333888952,0.460123068254643,0.216368544964465,277.638437984984,0.517974599773445,97,2013-04-07,"T2"
0.314810455334756,0.48257974970771,0.200621464965395,252.576527830208,0.496570973703497,98,2013-04-08,"T2"
0.306910252386523,0.493518766380976,0.201986699476811,228.139339792794,0.496570973703497,99,2013-04-09,"T2"
0.30965367225145,0.488561153167121,0.19962761454605,246.965395746823,0.496109732938056,100,2013-04-10,"T2"
0.318422228608194,0.477472761278423,0.205312428177834,272.390461809488,0.494321198013269,101,2013-04-11,"T2"
0.305525096171757,0.486981097695242,0.203742221788788,266.499035275366,0.49319729433385,102,2013-04-12,"T2"
0.312866985523543,0.476320350379613,0.21178204390135,288.954343358081,0.493136416027833,103,2013-04-13,"T2"
0.308735745510604,0.485639362831494,0.204319734055995,274.653978440502,0.487047013954825,104,2013-04-14,"T2"
0.324533640284162,0.461260670179921,0.212963165738719,295.495050543182,0.494148838605294,105,2013-04-15,"T2"
0.305244957909319,0.491000797309616,0.199778859433751,273.830816660375,0.494148838605294,106,2013-04-16,"T2"
0.32226189879459,0.485592587236945,0.193405703271959,285.108049159012,0.497448225460651,107,2013-04-17,"T2"
0.319763832539221,0.483207782960368,0.197628007734596,280.938152762049,0.49864841329228,108,2013-04-18,"T2"
0.300965680224342,0.497313305613823,0.202182000728097,267.86437229982,0.503214299071416,109,2013-04-19,"T2"
0.292436241120687,0.498277606895632,0.210498590006967,259.796652824965,0.502234722185472,110,2013-04-20,"T2"
0.317580606206499,0.485361422392752,0.201194336204711,278.722536806342,0.501255145299528,111,2013-04-21,"T2"
0.311299824253724,0.491406598421413,0.19952788541235,275.69606979573,0.498529105685637,112,2013-04-22,"T2"
